location,location_name,epiweek,value,target_end_date,inc,target_type
PL,Poland,18,2276,2020-05-02,incident,cases
PL,Poland,19,2258,2020-05-09,incident,cases
PL,Poland,20,2653,2020-05-16,incident,cases
PL,Poland,21,2596,2020-05-23,incident,cases
PL,Poland,22,2541,2020-05-30,incident,cases
PL,Poland,23,2257,2020-06-06,incident,cases
PL,Poland,24,3167,2020-06-13,incident,cases
PL,Poland,25,2734,2020-06-20,incident,cases
PL,Poland,26,2084,2020-06-27,incident,cases
PL,Poland,27,2010,2020-07-04,incident,cases
PL,Poland,28,1811,2020-07-11,incident,cases
PL,Poland,29,2191,2020-07-18,incident,cases
PL,Poland,30,2631,2020-07-25,incident,cases
PL,Poland,31,3650,2020-08-01,incident,cases
PL,Poland,32,4636,2020-08-08,incident,cases
PL,Poland,33,4995,2020-08-15,incident,cases
PL,Poland,34,4962,2020-08-22,incident,cases
PL,Poland,35,5199,2020-08-29,incident,cases
PL,Poland,36,4340,2020-09-05,incident,cases
PL,Poland,37,3227,2020-09-12,incident,cases
PL,Poland,38,4281,2020-09-19,incident,cases
PL,Poland,39,7068,2020-09-26,incident,cases
PL,Poland,40,11377,2020-10-03,incident,cases
PL,Poland,41,20565,2020-10-10,incident,cases
PL,Poland,42,41270,2020-10-17,incident,cases
PL,Poland,43,70710,2020-10-24,incident,cases
PL,Poland,44,112516,2020-10-31,incident,cases
PL,Poland,45,152931,2020-11-07,incident,cases
PL,Poland,46,171782,2020-11-14,incident,cases
PL,Poland,47,153715,2020-11-21,incident,cases
PL,Poland,48,138913,2020-11-28,incident,cases
PL,Poland,49,83431,2020-12-05,incident,cases
PL,Poland,50,73368,2020-12-12,incident,cases
PL,Poland,51,67697,2020-12-19,incident,cases
PL,Poland,52,66239,2020-12-26,incident,cases
PL,Poland,53,57211,2021-01-02,incident,cases
